SIDO_NM,CCG_NM,LAWD_CD,LON,LAT,N_STORES
경상남도,고성군,48820,128.32230259666204,34.99023749591263,2679
경상남도,김해시,48250,128.84357469451444,35.23448008528928,26700
경상남도,남해군,48840,127.94117516245421,34.812911006732115,3320
경상남도,밀양시,48270,128.76960414848534,35.48354261317551,5823
경상남도,사천시,48240,128.07000816754436,35.008606470607646,6468
경상남도,산청군,48860,127.88918140688638,35.35551575505918,2040
경상남도,양산시,48330,129.0571612779729,35.3559612075118,16790
경상남도,의령군,48720,128.27018151255305,35.35485739879062,1087
경상남도,진주시,48170,128.10245690054137,35.18366926705092,19577
경상남도,창녕군,48740,128.49934298671295,35.48915340766149,3177
경상남도,창원시 마산합포구,48125,128.56116307510592,35.18619237990816,10078
경상남도,창원시 마산회원구,48127,128.563399043389,35.235161770023225,8241
경상남도,창원시 성산구,48123,128.68321844876837,35.22058270309667,13614
경상남도,창원시 의창구,48121,128.63897968643752,35.26347377692502,11213
경상남도,창원시 진해구,48129,128.7261703886269,35.1337579625101,8450
경상남도,통영시,48220,128.41255869746104,34.84590916883883,7543
경상남도,하동군,48850,127.76791296744145,35.09941643603219,2903
경상남도,함안군,48730,128.4362639475496,35.29224240146211,2979
경상남도,함양군,48870,127.73178009486054,35.52828438653679,2156
경상남도,합천군,48890,128.15091478293402,35.576783786907896,2002
경상북도,경산시,47290,128.7666621958902,35.84541946003565,13217
경상북도,경주시,47130,129.2440439115922,35.84187527379771,18020
경상북도,고령군,47830,128.31285771534095,35.746713042430386,1520
경상북도,구미시,47190,128.36866750739142,36.12957057510355,20797
경상북도,김천시,47150,128.13111589397977,36.12202506022116,6646
경상북도,문경시,47280,128.1698041170871,36.625641384036165,4329
경상북도,봉화군,47920,128.8369820316496,36.91307739014959,1516
경상북도,상주시,47250,128.13895618646885,36.42510141547773,4758
경상북도,성주군,47840,128.27183888042646,35.91230231603475,2287
경상북도,안동시,47170,128.70652871033812,36.566534310117255,9462
경상북도,영덕군,47770,129.38838353917834,36.43440554336308,2838
경상북도,영양군,47760,129.12132695019702,36.65897266018177,742
경상북도,영주시,47210,128.60422681889452,36.83256793247946,6244
경상북도,영천시,47230,128.92786881964332,35.97448179427195,4940
경상북도,예천군,47900,128.44387439690345,36.62605154283143,2386
경상북도,울릉군,47940,130.8922658446871,37.49166970816151,929
경상북도,울진군,47930,129.41029423338247,36.9209932602498,3245
경상북도,의성군,47730,128.60719445637238,36.350491016920856,2326
경상북도,청도군,47820,128.7456225926738,35.65922381926301,2555
경상북도,청송군,47750,129.04340877726239,36.41945024685264,1533
경상북도,칠곡군,47850,128.4162338122677,36.025860256009985,6149
경상북도,포항시 남구,47111,129.3859273302972,35.999306272708814,13387
경상북도,포항시 북구,47113,129.36339616822036,36.06978940387654,15141
광주광역시,광산구,29200,126.81577441210932,35.18114854578476,18883
광주광역시,남구,29155,126.89947897392315,35.127253160494874,8952
광주광역시,동구,29110,126.92316589749282,35.147634718442234,9363
광주광역시,북구,29170,126.89764513585928,35.18563242867669,20649
광주광역시,서구,29140,126.8660643828501,35.14663369960444,17477
대구광역시,군위군,27720,128.60475088630355,36.185292545983,1139
대구광역시,남구,27200,128.5826393470862,35.84421680919104,8405
대구광역시,달서구,27290,128.53019028954014,35.8364055456257,22762
대구광역시,달성군,27710,128.46838270418996,35.76966808429919,9329
대구광역시,동구,27140,128.66080899331502,35.884382565847794,15414
대구광역시,북구,27230,128.58023532668966,35.91119164697882,18021
대구광역시,서구,27170,128.55935706407132,35.872238297409794,8218
대구광역시,수성구,27260,128.63943821635564,35.84554639412198,19916
대구광역시,중구,27110,128.59315798650542,35.866939669426266,15153
대전광역시,대덕구,30230,127.42749527063775,36.38692954213942,8503
대전광역시,동구,30110,127.44337648448004,36.332280010030004,11824
대전광역시,서구,30170,127.3731467303463,36.33557078613964,27753
