상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명
N1,시설관리·임대,N104,고용 알선,N10403,상용 인력 공급 및 인사관리 서비스업
N1,시설관리·임대,N104,고용 알선,N10402,임시/일용 인력 공급업
N1,시설관리·임대,N108,기타 사업 서비스,N10802,전시/컨벤션/행사 대행 서비스업
N1,시설관리·임대,N108,기타 사업 서비스,N10805,포장/충전업
N1,시설관리·임대,N107,사무 지원,N10799,기타 사무 지원 서비스업
N1,시설관리·임대,N107,사무 지원,N10703,복사업
N1,시설관리·임대,N111,산업용품 대여,N11101,건설기계/장비 대여업
N1,시설관리·임대,N111,산업용품 대여,N11199,기타 산업용 기계/장비 대여업
N1,시설관리·임대,N111,산업용품 대여,N11102,컴퓨터/사무기기 대여업
N1,시설관리·임대,N101,시설관리,N10101,사업시설 유지·관리 서비스업
N1,시설관리·임대,N105,여행사·보조,N10599,기타 여행 보조/예약 서비스업
N1,시설관리·임대,N105,여행사·보조,N10501,여행사
N1,시설관리·임대,N109,운송장비 대여,N10999,기타 운송장비 대여업
N1,시설관리·임대,N109,운송장비 대여,N10901,자동차 대여업
N1,시설관리·임대,N103,조경·유지,N10301,조경 유지·관리 서비스업
N1,시설관리·임대,N102,청소·방제,N10201,건축물 일반 청소업
N1,시설관리·임대,N102,청소·방제,N10202,산업설비; 운송장비 및 공공장소 청소업
N1,시설관리·임대,N102,청소·방제,N10203,소독; 구충 및 방제 서비스업
R1,예술·스포츠,R102,도서관·사적지,R10202,독서실/스터디 카페
R1,예술·스포츠,R103,스포츠 서비스,R10311,골프 연습장
R1,예술·스포츠,R103,스포츠 서비스,R10314,기타 스포츠시설 운영업
R1,예술·스포츠,R103,스포츠 서비스,R10310,당구장
R1,예술·스포츠,R103,스포츠 서비스,R10309,볼링장
R1,예술·스포츠,R103,스포츠 서비스,R10308,수영장
R1,예술·스포츠,R103,스포츠 서비스,R10316,스쿼시/라켓볼장
R1,예술·스포츠,R103,스포츠 서비스,R10306,종합 스포츠시설
R1,예술·스포츠,R103,스포츠 서비스,R10313,탁구장
R1,예술·스포츠,R103,스포츠 서비스,R10312,테니스장
R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장
R1,예술·스포츠,R104,유원지·오락,R10406,PC방
R1,예술·스포츠,R104,유원지·오락,R10499,기타 오락관련 서비스업
R1,예술·스포츠,R104,유원지·오락,R10405,기타 오락장
R1,예술·스포츠,R104,유원지·오락,R10408,낚시터 운영업
R1,예술·스포츠,R104,유원지·오락,R10407,노래방
