SIDO_NM,CCG_NM,LAWD_CD,DEPOPULATION_TIER,SUBSIDY_10K_KRW
경상남도,거창군,48880,우대,20
경상남도,고성군,48820,특별,25
경상남도,김해시,48250,,15
경상남도,남해군,48840,특별,25
경상남도,밀양시,48270,우대,20
경상남도,사천시,48240,,15
경상남도,산청군,48860,우대,20
경상남도,양산시,48330,,15
경상남도,의령군,48720,특별,25
경상남도,진주시,48170,,15
경상남도,창녕군,48740,우대,20
경상남도,창원시 마산합포구,48125,,15
경상남도,창원시 마산회원구,48127,,15
경상남도,창원시 성산구,48123,,15
경상남도,창원시 의창구,48121,,15
경상남도,창원시 진해구,48129,,15
경상남도,통영시,48220,,15
경상남도,하동군,48850,특별,25
경상남도,함안군,48730,우대,20
경상남도,함양군,48870,특별,25
경상남도,합천군,48890,특별,25
경상북도,경산시,47290,,15
경상북도,경주시,47130,,15
경상북도,고령군,47830,우대,20
경상북도,구미시,47190,,15
경상북도,김천시,47150,,15
경상북도,문경시,47280,우대,20
경상북도,봉화군,47920,특별,25
경상북도,상주시,47250,특별,25
경상북도,성주군,47840,우대,20
경상북도,안동시,47170,우대,20
경상북도,영덕군,47770,특별,25
경상북도,영양군,47760,특별,25
경상북도,영주시,47210,우대,20
경상북도,영천시,47230,우대,20
경상북도,예천군,47900,,15
경상북도,울릉군,47940,우대,20
경상북도,울진군,47930,우대,20
경상북도,의성군,47730,특별,25
경상북도,청도군,47820,특별,25
경상북도,청송군,47750,특별,25
경상북도,칠곡군,47850,,15
경상북도,포항시 남구,47111,,15
경상북도,포항시 북구,47113,,15
광주광역시,광산구,29200,,15
광주광역시,남구,29155,,15
광주광역시,동구,29110,,15
광주광역시,북구,29170,,15
광주광역시,서구,29140,,15
대구광역시,군위군,27720,우대,20
대구광역시,남구,27200,우대,20
대구광역시,달서구,27290,,15
대구광역시,달성군,27710,,15
대구광역시,동구,27140,,15
대구광역시,북구,27230,,15
대구광역시,서구,27170,우대,20
대구광역시,수성구,27260,,15
대구광역시,중구,27110,,15
대전광역시,대덕구,30230,,15
대전광역시,동구,30110,,15
대전광역시,서구,30170,,15
대전광역시,유성구,30200,,15
대전광역시,중구,30140,,15
부산광역시,강서구,26440,,15
부산광역시,금정구,26410,,15
부산광역시,기장군,26710,,15
부산광역시,남구,26290,,15
부산광역시,동구,26170,우대,20
부산광역시,동래구,26260,,15
부산광역시,부산진구,26230,,15
부산광역시,북구,26320,,15
부산광역시,사상구,26530,,15
부산광역시,사하구,26380,,15
부산광역시,서구,26140,우대,20
부산광역시,수영구,26500,,15
부산광역시,연제구,26470,,15
부산광역시,영도구,26200,우대,20
부산광역시,중구,26110,,15
부산광역시,해운대구,26350,,15
서울특별시,강남구,11680,,10
서울특별시,강동구,11740,,10
서울특별시,강북구,11305,,10
서울특별시,강서구,11500,,10
서울특별시,관악구,11620,,10
서울특별시,광진구,11215,,10
서울특별시,구로구,11530,,10
서울특별시,금천구,11545,,10
서울특별시,노원구,11350,,10
서울특별시,도봉구,11320,,10
서울특별시,동대문구,11230,,10
서울특별시,동작구,11590,,10
서울특별시,마포구,11440,,10
서울특별시,서대문구,11410,,10
서울특별시,서초구,11650,,10
서울특별시,성동구,11200,,10
서울특별시,성북구,11290,,10
서울특별시,송파구,11710,,10
서울특별시,양천구,11470,,10
서울특별시,영등포구,11560,,10
서울특별시,용산구,11170,,10
서울특별시,은평구,11380,,10
서울특별시,종로구,11110,,10
서울특별시,중구,11140,,10
서울특별시,중랑구,11260,,10
세종특별자치시,세종특별자치시,36110,,15
울산광역시,남구,31140,,15
울산광역시,동구,31170,,15
울산광역시,북구,31200,,15
울산광역시,울주군,31710,,15
울산광역시,중구,31110,,15
인천광역시,강화군,28710,우대,20
인천광역시,계양구,28245,,10
인천광역시,남동구,28200,,10
인천광역시,동구,28140,,10
인천광역시,미추홀구,28177,,10
인천광역시,부평구,28237,,10
인천광역시,서구,28260,,10
인천광역시,연수구,28185,,10
인천광역시,옹진군,28720,우대,20
인천광역시,중구,28110,,10
전라남도,강진군,46810,특별,25
전라남도,고흥군,46770,특별,25
전라남도,곡성군,46720,특별,25
전라남도,광양시,46230,,15
전라남도,구례군,46730,특별,25
전라남도,나주시,46170,,15
전라남도,담양군,46710,우대,20
전라남도,목포시,46110,,15
전라남도,무안군,46840,,15
전라남도,보성군,46780,특별,25
전라남도,순천시,46150,,15
전라남도,신안군,46910,특별,25
전라남도,여수시,46130,,15
전라남도,영광군,46870,우대,20
전라남도,영암군,46830,우대,20
전라남도,완도군,46890,특별,25
전라남도,장성군,46880,특별,25
전라남도,장흥군,46800,특별,25
전라남도,진도군,46900,우대,20
전라남도,함평군,46860,특별,25
전라남도,해남군,46820,특별,25
전라남도,화순군,46790,우대,20
전북특별자치도,고창군,52790,특별,25
전북특별자치도,군산시,52130,,15
전북특별자치도,김제시,52210,우대,20
전북특별자치도,남원시,52190,우대,20
전북특별자치도,무주군,52730,특별,25
전북특별자치도,부안군,52800,특별,25
전북특별자치도,순창군,52770,특별,25
전북특별자치도,완주군,52710,,15
전북특별자치도,익산시,52140,,15
전북특별자치도,임실군,52750,특별,25
전북특별자치도,장수군,52740,특별,25
전북특별자치도,전주시 덕진구,52113,,15
전북특별자치도,전주시 완산구,52111,,15
전북특별자치도,정읍시,52180,우대,20
전북특별자치도,진안군,52720,특별,25
제주특별자치도,서귀포시,50130,,15
제주특별자치도,제주시,50110,,15
충청남도,계룡시,44250,,15
충청남도,공주시,44150,우대,20
충청남도,금산군,44710,우대,20
충청남도,논산시,44230,우대,20
충청남도,당진시,44270,,15
충청남도,보령시,44180,우대,20
충청남도,부여군,44760,특별,25
충청남도,서산시,44210,,15
충청남도,서천군,44770,특별,25
충청남도,아산시,44200,,15
충청남도,예산군,44810,우대,20
충청남도,천안시 동남구,44131,,15
충청남도,천안시 서북구,44133,,15
충청남도,청양군,44790,특별,25
충청남도,태안군,44825,우대,20
충청남도,홍성군,44800,,15
충청북도,괴산군,43760,특별,25
충청북도,단양군,43800,특별,25
충청북도,보은군,43720,특별,25
충청북도,영동군,43740,특별,25
충청북도,옥천군,43730,우대,20
충청북도,음성군,43770,,15
충청북도,제천시,43150,우대,20
충청북도,증평군,43745,,15
충청북도,진천군,43750,,15
충청북도,청주시 상당구,43111,,15
충청북도,청주시 서원구,43112,,15
충청북도,청주시 청원구,43114,,15
충청북도,청주시 흥덕구,43113,,15
충청북도,충주시,43130,,15
